apprendimento policy e Q
----------------------------------
griglia (30x15):
..............................
###...........................
..#.####...............##.....
..#.#..#.............##.###...
.##.#..#.............#....#...
.#S.#..#....#........#....#...
.####..#....#........#G...#...
.......###.#######...##..#....
.......#....#.........#..#....
.......#....#.........#..#....
.......#....#......####..#....
............######......##....
..............................
..............................
..............................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
26,8,Destra,3.03576,2.32101,2.74793,1.86817,3.03576
27,8,Giu,3.83139,3.16811,3.83139,3.3026,3.34273
28,8,Giu,2.76257,2.3411,2.76257,2.4421,2.37367
29,8,Giu,2.48438,1.99561,2.48438,2.46197,1.50841
0,9,Giu,2.37982,2.13931,2.37982,2.23415,2.1134
1,9,Giu,2.62274,2.45717,2.62274,2.51014,2.56379
2,9,Destra,2.71072,2.32809,2.55563,2.55385,2.71072
3,9,Giu,2.82957,2.70774,2.82957,2.69421,2.80107
4,9,Destra,3.0574,2.51562,2.7809,2.82164,3.0574
5,9,Destra,2.73214,2.3818,2.64225,2.59431,2.73214
6,9,Giu,2.60037,2.19139,2.60037,2.50138,1.58835
8,9,Destra,2.23232,2.02741,2.18411,1.43099,2.23232
9,9,Destra,2.01486,1.87362,1.99615,1.91278,2.01486
10,9,Giu,2.44854,1.95869,2.44854,2.36349,2.26099
11,9,Sinistra,2.10508,1.94169,2.05695,2.10508,1.42184
13,9,Destra,3.22832,2.24534,2.64177,2.28736,3.22832
14,9,Destra,2.77489,2.34561,2.67755,2.41257,2.77489
15,9,Destra,2.76835,2.37971,2.76476,2.30717,2.76835
16,9,Giu,3.03394,2.55504,3.03394,2.73378,2.80035
17,9,Giu,4.53133,4.35159,4.53133,4.13575,4.42265
18,9,Giu,4.78022,4.29107,4.78022,4.20935,4.36237
19,9,Sinistra,4.52094,4.03664,3.30438,4.52094,4.13831
20,9,Sinistra,4.29724,3.8384,2.91334,4.29724,3.75938
21,9,Sinistra,2.60894,2.20628,1.58381,2.60894,1.56215
23,9,Su,8.53004,8.53004,7.68085,7.12356,7.69651
24,9,Sinistra,8.09328,7.9232,6.65196,8.09328,6.76113
26,9,Destra,3.24106,2.78029,2.77496,1.95242,3.24106
27,9,Giu,4.04694,3.68412,4.04694,3.82779,3.76884
28,9,Su,3.42309,3.42309,3.29993,3.3338,3.25819
29,9,Giu,3.04217,2.68667,3.04217,2.74498,1.91218
0,10,Giu,2.29302,2.03767,2.29302,1.62172,2.2778
1,10,Destra,2.35902,2.0488,2.1783,2.25178,2.35902
2,10,Destra,2.45481,2.26408,2.25574,2.14834,2.45481
3,10,Destra,2.60717,2.27821,2.50477,2.50881,2.60717
4,10,Giu,2.90703,2.70871,2.90703,2.82508,2.85051
5,10,Destra,2.68623,2.36176,2.5272,2.56536,2.68623
6,10,Giu,2.02354,1.78391,2.02354,1.9561,1.28415
8,10,Destra,2.18474,1.92264,2.14461,1.33124,2.18474
9,10,Destra,2.26854,1.93042,2.09583,2.21523,2.26854
10,10,Giu,2.68039,2.3337,2.68039,2.3001,2.23708
11,10,Sinistra,2.14345,1.9043,2.07279,2.14345,1.47099
13,10,Destra,2.58212,2.30273,1.26597,1.57569,2.58212
14,10,Destra,2.95998,2.36216,1.87019,2.75345,2.95998
15,10,Destra,3.00677,2.76743,2.05296,2.79916,3.00677
16,10,Destra,3.37793,3.18201,2.48012,3.3674,3.37793
17,10,Destra,4.79939,4.28427,3.52537,4.27606,4.79939
18,10,Giu,5.05025,4.44651,5.05025,4.4794,4.0512
23,10,Su,8.09498,8.09498,7.38081,6.66881,7.34295
24,10,Sinistra,7.71628,6.02164,5.62533,7.71628,5.64767
26,10,Destra,3.34487,2.62278,2.86464,2.41188,3.34487
27,10,Giu,4.7387,4.20413,4.7387,4.30952,4.22192
28,10,Giu,3.4092,3.23261,3.4092,3.40765,3.22614
29,10,Giu,2.29522,1.91359,2.29522,2.14197,1.42671
0,11,Destra,2.62442,2.29215,2.58339,1.81648,2.62442
1,11,Destra,2.85067,2.729,2.67266,2.726,2.85067
2,11,Giu,2.80794,2.62421,2.80794,2.56479,2.78447
3,11,Destra,2.83154,2.48551,2.64791,2.61173,2.83154
4,11,Giu,2.2693,2.14856,2.2693,2.16089,2.26845
5,11,Destra,2.83656,2.48927,2.65813,2.5465,2.83656
6,11,Giu,2.34151,2.12435,2.34151,2.05821,2.29095
7,11,Destra,2.49144,1.61566,2.35928,2.23558,2.49144
8,11,Destra,2.20823,1.95935,2.0925,2.05364,2.20823
9,11,Giu,2.3516,2.165,2.3516,2.06294,2.31136
10,11,Giu,2.98438,2.69111,2.98438,2.81571,2.95934
11,11,Giu,2.95127,2.486,2.95127,2.76764,1.83469
18,11,Destra,5.34333,4.82601,5.31281,4.07511,5.34333
19,11,Giu,5.65213,4.53944,5.65213,5.02054,5.41581
20,11,Giu,5.95072,4.73339,5.95072,5.60004,5.31001
21,11,Destra,6.99855,5.75897,6.0886,6.34286,6.99855
22,11,Destra,7.37697,5.75483,6.1582,5.66811,7.37697
23,11,Su,7.68358,7.68358,6.94516,6.92328,6.34184
26,11,Destra,4.41596,3.91489,3.82419,3.60097,4.41596
27,11,Giu,5.4483,4.46438,5.4483,4.25292,4.35469
28,11,Destra,3.14221,2.87204,3.01524,3.12328,3.14221
29,11,Giu,2.88799,2.86922,2.88799,2.66533,1.96939
0,12,Giu,2.31674,2.16245,2.31674,1.89808,1.82283
1,12,Destra,2.79848,2.59884,2.57252,2.58213,2.79848
2,12,Destra,2.68175,2.32398,2.63412,2.55493,2.68175
3,12,Destra,2.23382,1.84957,2.0946,2.17168,2.23382
4,12,Destra,2.45336,2.33807,2.43727,2.20772,2.45336
5,12,Destra,2.61896,2.28748,2.41432,2.44305,2.61896
6,12,Destra,2.26383,2.11025,2.24546,2.09615,2.26383
7,12,Giu,2.26999,2.16143,2.26999,2.1692,2.23526
8,12,Destra,2.35889,2.02987,2.16587,2.11935,2.35889
9,12,Destra,3.26982,2.80523,2.84301,2.93119,3.26982
10,12,Giu,3.31102,2.98189,3.31102,3.0747,3.11462
11,12,Giu,3.51907,3.09231,3.51907,3.30611,3.30444
12,12,Destra,3.43543,2.42917,3.02487,2.88897,3.43543
13,12,Destra,4.05984,3.1346,3.79405,3.69333,4.05984
14,12,Giu,4.45385,3.56178,4.45385,3.95674,4.07048
15,12,Giu,4.5374,3.7067,4.5374,3.98213,4.19781
16,12,Destra,5.66143,4.27969,4.83875,4.51774,5.66143
17,12,Giu,5.37713,4.3689,5.37713,4.71189,4.55047
18,12,Destra,5.62986,5.46028,5.48881,5.10332,5.62986
19,12,Destra,5.93989,5.31961,5.4023,5.30947,5.93989
20,12,Destra,6.25495,5.6347,5.64303,5.61443,6.25495
21,12,Destra,6.58886,6.40648,6.10205,5.93454,6.58886
22,12,Destra,6.93357,6.85697,6.21607,6.37903,6.93357
23,12,Su,7.28909,7.28909,6.46016,6.52679,6.58386
24,12,Sinistra,6.92804,6.05343,6.30175,6.92804,6.28326
