apprendimento policy e Q
----------------------------------
griglia (18x15):
..................
S###..............
#..#..............
...#..............
...#..............
...#..###....#....
...####.#....#....
....##..#....#....
........#....##...
........#.....#...
.........#....#...
.........G####....
..................
..................
..................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
11,9,Su,2.42728,2.42728,2.15784,2.07031,2.28347
12,9,Su,2.15761,2.15761,2.00006,1.93739,2.01839
13,9,Giu,1.91699,0.899693,1.91699,1.84377,1.23212
15,9,Giu,6.2243,5.48402,6.2243,5.00761,5.76973
16,9,Giu,5.91983,5.51061,5.91983,5.40794,5.18754
17,9,Giu,5.53241,4.97281,5.53241,5.21197,4.63913
0,10,Giu,3.53435,3.21283,3.53435,2.99912,3.33815
1,10,Giu,3.68793,3.36071,3.68793,3.55635,3.43241
2,10,Destra,4.06373,3.74839,3.15728,3.23896,4.06373
3,10,Su,3.79861,3.79861,3.75251,3.32561,3.23721
4,10,Sinistra,3.94795,3.17493,3.32892,3.94795,3.93421
5,10,Sinistra,4.10083,3.94828,3.97854,4.10083,4.06427
6,10,Sinistra,3.97037,2.95072,2.79708,3.97037,3.40472
7,10,Sinistra,4.35179,4.08488,4.28024,4.35179,3.9526
8,10,Giu,5.4579,4.9254,5.4579,5.12857,4.70794
10,10,Destra,2.1227,1.64903,1.17134,1.41424,2.1227
11,10,Destra,2.13656,2.0273,1.10357,2.04094,2.13656
12,10,Destra,2.11114,1.95637,1.10296,2.03521,2.11114
13,10,Su,2.04029,2.04029,1.05059,1.63441,1.12444
15,10,Giu,6.56166,5.87161,6.56166,5.32018,5.83347
16,10,Sinistra,6.22534,5.49569,5.7929,6.22534,5.65807
17,10,Sinistra,6.29291,5.50422,6.28084,6.29291,5.53568
0,11,Giu,2.97271,2.65654,2.97271,2.7953,2.95998
1,11,Destra,3.64591,3.45118,3.37215,3.08467,3.64591
2,11,Giu,4.34978,4.16994,4.34978,4.20773,4.29967
3,11,Sinistra,4.24595,3.55593,4.14637,4.24595,3.80144
4,11,Sinistra,3.46553,3.19474,3.32922,3.46553,3.13663
5,11,Giu,4.59277,4.34278,4.59277,4.33119,3.97576
6,11,Destra,4.62627,4.30862,4.28843,4.55129,4.62627
7,11,Su,4.43766,4.43766,4.36777,4.37399,4.34105
8,11,Sinistra,6.1854,4.70645,4.97589,6.1854,5.61828
9,11,Destra,4.13103,4.06647,3.34247,3.91539,4.13103
14,11,Giu,7.29177,5.90386,7.29177,5.9889,6.49574
15,11,Sinistra,6.91675,6.20876,6.87941,6.91675,6.2998
