apprendimento policy e Q
----------------------------------
griglia (15x20):
...............
...............
...............
...............
....#####......
........##.....
.........#.....
....###..#.....
...##.#S##.....
.....####......
......#.#......
......#....#...
......#....#...
......#....#...
......#....#...
......######...
.......G##.....
...............
...............
...............

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
7,12,Destra,5.62424,5.06101,5.3123,4.4951,5.62424
8,12,Destra,5.04788,4.74524,4.88276,4.89321,5.04788
9,12,Giu,5.90862,5.31684,5.90862,5.25197,5.80413
10,12,Giu,5.09356,4.37114,5.09356,4.83583,4.70856
12,12,Destra,5.27115,4.54353,4.49487,4.29455,5.27115
13,12,Giu,6.1145,5.45417,6.1145,5.62201,5.98291
14,12,Sinistra,5.73933,5.08103,5.72042,5.73933,5.32579
0,13,Destra,5.9771,5.15078,5.52075,5.11785,5.9771
1,13,Destra,6.57928,6.02727,6.23757,5.79188,6.57928
2,13,Destra,6.9388,6.32734,6.81241,6.27712,6.9388
3,13,Destra,7.3108,6.54514,7.1631,6.46427,7.3108
4,13,Giu,7.70273,7.00621,7.70273,6.9292,7.648
5,13,Giu,8.13916,6.49625,8.13916,7.53497,7.03523
7,13,Destra,6.07646,5.6446,5.80287,5.144,6.07646
8,13,Giu,5.03093,4.51527,5.03093,4.7563,4.74889
9,13,Giu,5.89279,5.25434,5.89279,5.425,5.62193
10,13,Giu,4.97921,4.51773,4.97921,4.94802,4.42423
12,13,Destra,5.71779,5.07852,5.40598,5.12015,5.71779
13,13,Giu,5.60918,5.29961,5.60918,5.30294,5.59433
14,13,Sinistra,5.66602,5.3512,5.59215,5.66602,5.04651
0,14,Destra,6.01804,5.38435,5.71535,4.76179,6.01804
1,14,Destra,6.85765,6.08118,6.13578,6.0944,6.85765
2,14,Destra,7.32271,6.67943,6.63621,6.17351,7.32271
3,14,Destra,7.7129,6.98669,7.25273,7.03631,7.7129
4,14,Giu,8.11577,7.3825,8.11577,7.2516,8.08994
5,14,Giu,8.60709,7.25485,8.60709,7.2428,7.91406
7,14,Destra,6.12643,5.39904,5.62318,5.15135,6.12643
8,14,Su,4.25836,4.25836,3.63536,3.97656,4.10804
9,14,Destra,5.7952,5.69154,5.42053,5.61979,5.7952
10,14,Sinistra,5.08942,4.48073,3.87338,5.08942,3.91775
12,14,Giu,5.73217,5.1144,5.73217,5.5667,5.51538
13,14,Sinistra,5.60953,5.25088,5.50548,5.60953,5.51622
14,14,Giu,5.31046,4.8013,5.31046,5.28941,4.98878
0,15,Destra,5.3271,5.19821,5.27331,4.48828,5.3271
1,15,Destra,5.80082,5.3091,5.53078,5.27019,5.80082
2,15,Destra,7.05321,6.90657,6.28783,6.38845,7.05321
3,15,Giu,7.34688,6.83629,7.34688,6.58371,7.28377
4,15,Destra,8.55694,7.57931,8.46245,7.15254,8.55694
5,15,Giu,9.01928,8.00382,9.01928,8.13572,7.66361
12,15,Destra,5.75828,5.25319,5.6476,5.15098,5.75828
13,15,Giu,5.5415,5.01763,5.5415,5.3701,5.53401
14,15,Sinistra,4.55812,3.95186,4.48536,4.55812,3.91929
0,16,Giu,5.56522,4.84758,5.56522,4.6952,5.39753
1,16,Giu,5.52757,4.85449,5.52757,5.30848,4.98369
2,16,Destra,6.88815,6.15048,6.54532,6.29765,6.88815
3,16,Giu,7.72989,6.97158,7.72989,6.89962,7.65487
4,16,Destra,9.02308,8.02098,8.11972,7.4656,9.02308
5,16,Destra,9.50299,8.31669,8.6684,8.45227,9.50299
6,16,Destra,10.0127,8.73446,8.89782,8.99748,10.0127
7,16,Giu,6.24249,5.38447,6.24249,5.41554,5.93514
10,16,Destra,5.32102,4.6277,5.07456,4.76249,5.32102
11,16,Giu,5.4821,5.00392,5.4821,5.34849,5.37234
12,16,Giu,5.16187,4.57519,5.16187,4.75621,4.89998
13,16,Destra,5.21945,4.84219,5.1538,5.05376,5.21945
14,16,Giu,5.19421,4.61189,5.19421,4.93059,4.48924
0,17,Destra,5.25732,4.7938,5.16382,4.67287,5.25732
1,17,Destra,5.68054,5.20323,5.67585,5.3982,5.68054
2,17,Giu,6.78934,6.0857,6.78934,5.91404,6.59944
3,17,Destra,8.1468,7.19686,7.37916,6.65899,8.1468
4,17,Destra,8.5832,7.86471,7.75747,7.71814,8.5832
5,17,Destra,9.03827,8.0578,8.17643,8.39988,9.03827
6,17,Destra,9.52343,9.43062,8.57222,8.88963,9.52343
7,17,Su,9.99733,9.99733,9.58622,8.6628,8.22445
8,17,Sinistra,9.80976,6.67688,7.57788,9.80976,5.85106
9,17,Giu,6.46811,5.21469,6.46811,5.71177,5.60185
10,17,Destra,5.11133,4.67345,5.02388,4.71261,5.11133
11,17,Destra,5.45245,5.02449,5.43497,5.21776,5.45245
12,17,Giu,5.89298,5.23116,5.89298,5.3901,5.46714
13,17,Sinistra,4.80959,4.51763,4.59658,4.80959,4.72682
14,17,Giu,5.53877,4.79497,5.53877,5.003,4.78606
0,18,Giu,5.35767,4.84481,5.35767,4.63422,5.2815
1,18,Giu,5.45472,5.00273,5.45472,5.13703,5.24972
2,18,Destra,7.1896,6.66428,6.78085,6.1607,7.1896
3,18,Su,7.70758,7.70758,7.16874,7.34186,7.67394
4,18,Su,8.38599,8.38599,7.44195,7.63975,7.99659
5,18,Destra,8.85214,8.5805,7.32549,8.43782,8.85214
6,18,Destra,9.1559,8.53747,8.26389,8.17122,9.1559
7,18,Su,9.49208,9.49208,7.19866,8.2158,8.80648
8,18,Destra,9.43392,9.25596,7.9624,9.01563,9.43392
9,18,Sinistra,7.03741,6.17268,6.37184,7.03741,6.30626
10,18,Giu,5.45093,4.89062,5.45093,5.11721,5.13689
11,18,Giu,5.27983,4.87472,5.27983,4.41166,4.81365
12,18,Giu,4.94879,4.77797,4.94879,4.78033,4.90679
13,18,Giu,5.83263,5.19399,5.83263,5.4404,5.66772
14,18,Sinistra,5.634,5.05481,5.07529,5.634,4.85296
0,19,Su,5.09306,5.09306,4.02196,3.91253,4.94607
1,19,Destra,5.23433,4.66353,4.60105,4.60125,5.23433
2,19,Destra,5.68893,5.49763,5.35813,5.46978,5.68893
3,19,Destra,7.08805,6.59149,5.83209,6.79849,7.08805
4,19,Su,7.70678,7.70678,6.74681,7.43982,7.42387
5,19,Destra,7.40826,6.9789,7.16789,7.28811,7.40826
6,19,Destra,7.40938,6.63695,7.09448,6.62771,7.40938
7,19,Destra,8.39674,7.87749,7.17044,7.63235,8.39674
8,19,Destra,7.99241,7.94849,7.4572,7.36866,7.99241
9,19,Destra,6.30072,5.77465,5.93852,5.7483,6.30072
10,19,Sinistra,5.64826,5.17826,5.56463,5.64826,5.22395
11,19,Sinistra,5.42277,5.08285,4.75188,5.42277,4.97842
12,19,Sinistra,4.9119,4.67614,4.76866,4.9119,4.72907
13,19,Sinistra,5.06912,4.88455,4.90396,5.06912,4.90724
14,19,Giu,5.9816,5.32936,5.9816,5.48783,5.77036
